2455823.47931   0.01537 0.00637 optical NITES
2455823.47944   0.02453 0.00648 optical NITES
2455823.47957   0.01303 0.00633 optical NITES
2455823.47970   0.02373 0.00655 optical NITES
2455823.47982   0.02887 0.00651 optical NITES
2455823.47995   0.00900 0.00626 optical NITES
2455823.48009   0.01579 0.00637 optical NITES
2455823.48022   0.02003 0.00640 optical NITES
2455823.48034   0.01905 0.00640 optical NITES
2455823.48047   0.02019 0.00644 optical NITES
2455823.48060   0.01884 0.00637 optical NITES
2455823.48073   0.01901 0.00640 optical NITES
2455823.48085   0.01893 0.00640 optical NITES
2455823.48098   0.01966 0.00640 optical NITES
2455823.48112   0.02034 0.00640 optical NITES
2455823.48125   0.02137 0.00640 optical NITES
2455823.48137   0.03216 0.00658 optical NITES
2455823.48150   0.03370 0.00658 optical NITES
2455823.48163   0.02403 0.00648 optical NITES
2455823.48176   0.01939 0.00640 optical NITES
2455823.48188   0.02394 0.00658 optical NITES
2455823.48201   0.01436 0.00640 optical NITES
2455823.48215   0.03069 0.00662 optical NITES
2455823.48228   0.02483 0.00648 optical NITES
2455823.48240   0.01581 0.00637 optical NITES
2455823.48253   0.02182 0.00644 optical NITES
2455823.48266   0.02095 0.00648 optical NITES
2455823.48279   0.03368 0.00655 optical NITES
2455823.48291   0.01750 0.00637 optical NITES
2455823.48304   0.04102 0.00672 optical NITES
2455823.48318   0.02981 0.00651 optical NITES
2455823.48331   0.02639 0.00648 optical NITES
2455823.48343   0.02017 0.00640 optical NITES
2455823.48356   0.02100 0.00648 optical NITES
2455823.48369   0.02054 0.00644 optical NITES
2455823.48382   0.01939 0.00640 optical NITES
2455823.48394   0.01916 0.00644 optical NITES
2455823.48408   0.02425 0.00648 optical NITES
2455823.48421   0.02287 0.00644 optical NITES
2455823.48434   0.01487 0.00633 optical NITES
2455823.48446   0.02219 0.00644 optical NITES
2455823.48459   0.02234 0.00644 optical NITES
2455823.48472   0.01755 0.00637 optical NITES
2455823.48486   0.01396 0.00633 optical NITES
2455823.48499   0.03491 0.00662 optical NITES
2455823.48511   0.02142 0.00640 optical NITES
2455823.48524   0.01429 0.00633 optical NITES
2455823.48537   0.01576 0.00662 optical NITES
2455823.48549   0.00814 0.00637 optical NITES
2455823.48562   0.01646 0.00640 optical NITES
2455823.48575   0.02440 0.00648 optical NITES
2455823.48589   0.03364 0.00662 optical NITES
2455823.48602   0.01791 0.00637 optical NITES
2455823.48614   0.02272 0.00640 optical NITES
2455823.48627   0.01845 0.00637 optical NITES
2455823.48640   0.02300 0.00644 optical NITES
2455823.48653   0.02745 0.00648 optical NITES
2455823.48665   0.01785 0.00637 optical NITES
