# BJD-2450000   mag       e_mag      Flag   Phase    
  7073.099197   +0.0024   0.00048    0      0.13761  
  7073.119630   +0.0023   0.00048    0      0.14591  
  7073.140062   +0.0016   0.00048    0      0.15421  
  7073.160494   +0.0016   0.00048    1      0.16251  
  7073.180926   +0.0009   0.00048    0      0.17082  
  7073.201358   +0.0006   0.00048    0      0.17912  
  7073.221790   +0.0004   0.00048    0      0.18742  
  7073.242222   -0.0002   0.00048    0      0.19572  
  7073.262654   -0.0002   0.00048    1      0.20402  
  7073.283086   -0.0009   0.00048    0      0.21233  
  7073.303518   -0.0009   0.00048    0      0.22063  
  7073.323950   -0.0015   0.00048    0      0.22893  
  7073.344382   -0.0016   0.00048    0      0.23723  
  7073.364814   -0.0019   0.00048    1      0.24553  
  7073.385246   -0.0020   0.00048    0      0.25384  
  7073.405678   -0.0022   0.00048    0      0.26214  
  7073.426110   -0.0026   0.00048    0      0.27044  
  7073.446542   -0.0023   0.00048    0      0.27874  
  7073.466974   -0.0027   0.00048    1      0.28704  
  7073.487406   -0.0026   0.00048    0      0.29534  
  7073.548702   -0.0029   0.00048    0      0.32025  
  7073.569134   -0.0028   0.00048    0      0.32855  
  7073.589566   -0.0027   0.00048    0      0.33685  
  7073.609998   -0.0027   0.00048    1      0.34516  
  7073.630430   -0.0025   0.00048    0      0.35346  
  7073.650862   -0.0030   0.00048    0      0.36176  
  7073.671294   -0.0024   0.00048    0      0.37006  
  7073.691726   -0.0029   0.00048    0      0.37836  
  7073.712158   -0.0021   0.00048    1      0.38667  
  7073.732590   -0.0029   0.00048    0      0.39497  
  7073.753022   -0.0024   0.00048    0      0.40327  
  7073.773454   -0.0025   0.00048    0      0.41157  
  7073.793886   -0.0022   0.00048    0      0.41987  
  7073.814318   -0.0023   0.00048    1      0.42817  
  7073.834750   -0.0021   0.00048    0      0.43648  
  7073.855182   -0.0022   0.00048    0      0.44478  
  7073.875614   -0.0022   0.00048    0      0.45308  
  7073.896046   -0.0017   0.00048    1      0.46138  
  7073.916478   -0.0019   0.00048    5      0.46968  
  7073.936910   +0.0085   0.00048    5      0.47799  
  7073.957342   +0.0264   0.00048    5      0.48629  
  7073.977774   +0.0407   0.00048    5      0.49459  
  7073.998206   +0.0424   0.00048    5      0.50289  
  7074.018638   +0.0320   0.00048    5      0.51119  
  7074.100366   -0.0022   0.00048    1      0.54440  
  7074.120798   -0.0019   0.00048    0      0.55270  
  7074.141230   -0.0021   0.00048    0      0.56100  
  7074.161662   -0.0020   0.00048    0      0.56931  
  7074.182094   -0.0023   0.00048    1      0.57761  
  7074.202526   -0.0022   0.00048    0      0.58591  
  7074.222958   -0.0021   0.00048    0      0.59421  
  7074.243390   -0.0024   0.00048    0      0.60251  
  7074.263822   -0.0022   0.00048    0      0.61082  
  7074.284254   -0.0026   0.00048    1      0.61912  
  7074.304686   -0.0025   0.00048    0      0.62742  
  7074.325118   -0.0024   0.00048    0      0.63572  
  7074.345550   -0.0022   0.00048    0      0.64402  
  7074.365982   -0.0026   0.00048    0      0.65233  
  7074.386414   -0.0024   0.00048    1      0.66063  
  7074.406846   -0.0023   0.00048    0      0.66893  
  7074.427278   -0.0024   0.00048    0      0.67723  
  7074.447710   -0.0024   0.00048    0      0.68553  
  7074.468142   -0.0023   0.00048    0      0.69383  
  7074.488574   -0.0024   0.00048    1      0.70214  
  7074.509006   -0.0020   0.00048    0      0.71044  
  7074.529438   -0.0023   0.00048    0      0.71874  
  7074.549870   -0.0017   0.00048    0      0.72704  
  7074.570302   -0.0020   0.00048    0      0.73534  
  7074.590734   -0.0015   0.00048    1      0.74365  
  7074.611166   -0.0015   0.00048    0      0.75195  
  7074.631598   -0.0012   0.00048    0      0.76025  
  7074.652030   -0.0008   0.00048    0      0.76855  
  7074.672462   -0.0007   0.00048    0      0.77685  
  7074.692894   -0.0003   0.00048    1      0.78515  
  7074.713326   +0.0001   0.00048    0      0.79346  
  7074.733758   +0.0003   0.00048    0      0.80176  
